ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Row0,Classify_Row1,Classify_Row2,Classify_Row3,Classify_Row4,Classify_Row5,Classify_Row6,Location_Center_X,Location_Center_Y,Number_Object_Number,Parent_NaturalSpots
24,2,12540,306.0,105.0,1.0,1.0056831507386486,0.403541777417181,1.0,0.7655677655677655,0.8641529714263736,131.98224010890723,132.32157798333574,59.90826320300064,20.908071342832105,18.384776310850235,121.39999999999999,120.75863141215746,56.46635717681654,427.02999999999884,0.9829126822385958,0,1,0,0,0,0,0,308.3201754385965,106.93333333333334,2,2
24,3,12093,519.0,103.0,1.0,1.0018058149736593,0.2836002184192196,1.0,0.7864854318418314,0.8588281286117564,126.55301871885248,127.76932339180638,59.841457201508724,20.6243318657039,18.027756377319946,121.47934297332517,121.3570812051946,48.30697051549481,420.6479999999989,0.9813755325623861,0,1,0,0,0,0,0,519.3325064086662,104.53262217811957,3,3
24,4,11550,721.0,110.0,1.0,1.0098967812042652,0.26807612917403845,0.0,0.7696921231507396,0.6907993134075435,123.90331178418855,126.26955294131677,46.22769732530488,16.22573914284949,14.142135623730951,119.23051326786128,119.36816949229025,-63.09513038486958,458.3739999999989,0.964509394572025,0,1,0,0,0,0,0,732.7097835497835,100.81748917748918,4,4
24,5,8299,951.0,108.0,1.0,1.1403653275429204,0.5080947018616914,-3.0,0.6517709887693395,0.2616313342257843,117.43277783859676,123.06502346320826,22.561028345356956,7.724282979770379,7.0710678118654755,105.03479505140851,101.14499361827242,12.99374650392142,631.3539999999979,0.8148257241040747,0,1,0,0,0,0,0,945.3047355103024,98.70430172309916,5,5
24,6,4422,1140.0,84.0,1.0,2.6323558029858267,0.7861179990534195,4.0,0.37237894736842103,0.1705116906789246,146.19692189866433,129.3560976529518,14.7648230602334,5.343311861871526,5.0,92.46114758928174,90.36087372163729,-72.6372598205912,570.8699999999981,0.49926611719543873,0,1,0,0,0,0,0,1161.5092718227047,94.77295341474446,6,6
24,7,13195,92.0,321.0,1.0,1.0093789056814857,0.47552660311316197,1.0,0.7750822368421053,0.884683461181417,138.02895102891318,138.06158046321215,60.74537019394976,21.46353871885951,19.0,121.65936051122412,121.42425334633538,54.69401343800654,432.9279999999988,0.9852897252090799,0,0,1,0,0,0,0,93.69056460780598,323.40439560439563,7,7
24,8,11423,306.0,319.0,1.0,1.0036483032993158,0.36592266596781126,1.0,0.7933189804847559,0.8931812437090101,124.86429985913546,125.4312560727987,57.982756057296896,20.12665672082768,17.72004514666935,116.67261889578035,116.20436897956738,51.010410132204775,400.88999999999896,0.9856760721373713,0,0,1,0,0,0,0,307.82806618226385,321.15888995885496,8,8
24,9,10617,518.0,318.0,1.0,1.0014539761407646,0.2322531597454462,1.0,0.7755862371246987,0.8742597230314808,117.75428852547564,119.9208072020865,55.731499172371095,19.285918284790903,17.0,113.84419177103415,114.53434113526997,49.56967077886912,390.64799999999906,0.9800156920662759,0,0,1,0,0,0,0,518.3167561458039,318.11001224451354,9,9
24,10,9116,720.0,303.0,1.0,1.080979810194351,0.34639184231707915,-4.0,0.6779207258124489,0.23661258581657557,115.34066010217084,118.6086000254619,23.0,7.583510493326918,7.0,111.40479229794306,108.19991021273505,6.453473733863421,695.8059999999978,0.8687282603516463,0,0,1,0,0,0,0,733.6202281702501,315.1578543220711,10,10
24,11,5785,978.0,291.0,1.0,1.7909781500997957,0.2929534893793856,4.0,0.4412662090007628,0.08877426689447611,117.20563030968138,114.54256850621083,13.892443989449804,4.452597034155402,4.0,104.36012403957028,112.06343170856717,16.4917603852844,904.9259999999967,0.6134676564156948,0,0,1,0,0,0,0,945.9675021607605,311.80328435609334,11,11
24,12,1887,1205.0,293.0,1.0,4.061330843917395,0.8300455008734227,6.0,0.2437984496124031,0.14621087676559744,121.81486531822131,98.11218069128827,10.0,3.7454971221215256,3.1622776601683795,73.73892756341284,67.93562360050299,-45.18121939317052,402.717999999999,0.3589158345221113,0,0,1,0,0,0,0,1171.386857445681,310.5665076841547,12,12
24,13,12309,91.0,533.0,1.0,1.0005113336985811,0.19840122043340253,1.0,0.7815238095238095,0.8819504334104133,126.25161031166888,126.87395319765204,61.032778078668514,20.941343251967663,18.384776310850235,123.6981437582261,123.7418404511056,43.63886051839918,418.7879999999989,0.9835397522972438,0,0,0,1,0,0,0,91.96628483223658,533.6740596311641,13,13
24,14,10717,306.0,531.0,1.0,1.0009581253584694,0.15336323178751596,1.0,0.7762566999855135,0.8724512003846816,117.36405656896562,119.00420160649792,56.43580423808985,19.406475502389494,17.029386365926403,114.92233857017975,115.9756261353043,50.97308019600542,392.88999999999896,0.9809162052079996,0,0,0,1,0,0,0,306.69972940188484,532.2335541662778,14,14
24,15,10708,518.0,531.0,1.0,1.000688204932317,0.08831041682091906,1.0,0.7756048095031146,0.8743247128943257,116.83524951669095,118.37651794169315,56.462376853972415,19.412049817486235,17.0146931829632,115.25840533340725,116.37877452712283,-46.93020901427541,392.303999999999,0.9798682284040994,0,0,0,1,0,0,0,517.8286327979081,530.2368322749346,15,15
24,16,8746,735.0,515.0,1.0,1.0972768212006097,0.3140748960470558,0.0,0.6556221889055472,0.26907007086167056,113.18473574426366,117.63077828527702,31.38470965295043,9.736924361981693,8.06225774829855,110.261500529704,107.45738542681501,-52.19685833827217,639.111999999998,0.8588824511440636,0,0,0,1,0,0,0,732.9580379602104,528.4942831008461,16,16
24,17,4757,945.0,503.0,1.0,1.8321056759669885,0.5704827614383043,4.0,0.3968134801468135,0.09856289152968205,114.93873221549842,111.6288493177279,17.11724276862369,4.617641697535831,4.0,98.38975365433676,94.40028137097819,-87.38022762480722,778.7799999999971,0.5605043006951809,0,0,0,1,0,0,0,953.7437460584401,525.5270128232079,17,17
24,18,1702,1149.0,497.0,1.0,5.0170145717168895,0.7177948576263584,7.0,0.17103808662445985,0.14999218947513046,120.82200399798917,114.06138698087096,10.63014581273465,3.6415622358640363,3.1622776601683795,71.26348689907077,84.12288251532526,-33.398471089800886,377.61599999999885,0.25970855268177306,0,0,0,1,0,0,0,1145.084606345476,519.5299647473561,18,18
24,19,12965,91.0,747.0,1.0,1.0001155625145302,0.06420312064446146,1.0,0.7790998137131182,0.8793242860104106,128.3952951052804,129.2749008895385,63.12685640834652,21.515628895373915,18.973665961010276,127.82121948621597,128.13039652662155,-26.33407583337087,430.4439999999988,0.9842474852913269,0,0,0,0,1,0,0,91.04897801774007,746.3370613189356,19,19
24,20,11559,307.0,745.0,1.0,1.000525580969799,0.1829527684776099,1.0,0.7766579318685749,0.88287653007247,122.1652812332598,123.0447073221762,59.481089431852205,20.265471121284325,17.88854381999832,119.61102240386514,120.10333943272498,-53.156912173278194,405.6159999999989,0.9832007825458258,0,0,0,0,1,0,0,306.86123367073276,744.6003114456267,20,20
24,21,11159,517.0,742.0,1.0,1.000674866401148,0.1903400479280941,1.0,0.7814425770308123,0.8710431841748896,120.1277769016117,121.33424908079334,57.584720195551874,19.801057771071466,17.46424919657298,117.58048205919727,117.93162747605577,-43.45172920279142,401.23399999999896,0.9795470505617976,0,0,0,0,1,0,0,517.1780625504077,742.3263733309436,21,21
24,22,10227,720.0,767.0,1.0,1.031155774051543,0.16505731625618358,-1.0,0.7344872163171502,0.5179153400034656,116.47677161121717,118.68024266911489,31.827660925679098,11.963256262203531,10.770329614269007,114.5512985522207,114.87917347752555,21.425750039766804,498.13799999999856,0.9439291153260416,0,0,0,0,1,0,0,731.5419966754669,743.208076659822,22,22
24,23,6387,948.0,708.0,1.0,1.364944397734049,0.4880912767739019,1.0,0.5140028971511347,0.16864159729260256,112.07433778199878,118.00423721205946,18.973665961010276,6.285432492727056,5.385164807134504,101.62904891720197,97.81765156957502,72.17941315362881,689.8759999999977,0.6992938085071441,0,0,0,0,1,0,0,946.6923438233913,737.9873179896665,23,23
24,24,1916,1113.0,716.0,1.0,6.46801211791588,0.6120472773855725,6.0,0.1649591046061128,0.15505160078902963,139.09552999516157,119.54915307102765,10.770329614269007,3.7202644140808343,3.1622776601683795,91.09983714512805,109.99969041670866,27.419749678880606,394.06199999999893,0.23307584696794598,0,0,0,0,1,0,0,1163.669102296451,730.9206680584551,24,24
24,25,12787,95.0,959.0,1.0,1.0003207111421846,0.18391145044438303,1.0,0.774406492248062,0.8777669320062804,128.4841742205306,129.0968628588627,62.289646009589745,21.353023331197083,18.788294228055936,125.86500705120545,126.29259594587263,19.110414117401767,427.8579999999988,0.9837667333435912,0,0,0,0,0,1,0,94.21107374677406,959.3107061859702,25,25
24,26,10835,305.0,958.0,1.0,1.0006992452608092,0.2407581289452499,1.0,0.7781528296466532,0.8854707321364339,119.03439363354217,120.10412149464314,57.271284253105414,19.68038595599434,17.26267650163207,113.84419177103415,115.53301418346574,54.52658266468645,392.131999999999,0.9843735804488056,0,0,0,0,0,1,0,305.72219658514075,958.4560221504383,26,26
24,27,10019,519.0,957.0,1.0,1.000936279165223,0.16118501449854752,1.0,0.7643423863289595,0.8486778432867306,113.5503644380754,115.73245007343446,54.589376255824725,18.717163825275684,16.492422502470642,111.81845669046398,112.06560342009394,-2.2614396351272354,385.1639999999991,0.9768439526154145,0,0,0,0,0,1,0,518.8179459027847,957.7597564627208,27,27
24,28,6741,722.0,956.0,1.0,1.3293031879553405,0.4882976520947426,2.0,0.553448275862069,0.12227535156979907,113.63024022196963,116.55899793666725,18.867962264113206,5.639677139573768,5.0,102.63084276980507,99.16251385391529,-50.01541078455143,832.3339999999971,0.7341138034304383,0,0,0,0,0,1,0,729.712950600801,952.5313751668892,28,28
24,29,2825,926.0,1000.0,1.0,3.886493995277371,0.6826633869760501,10.0,0.2425309065934066,0.0701661396217526,134.7746406019539,111.89280584559492,9.433981132056603,3.0806322043670553,2.8284271247461903,100.62526690898834,98.48427586421444,19.046845727984007,711.2959999999971,0.3332743467232938,0,0,0,0,0,1,0,945.3405309734513,950.8566371681416,29,29
24,30,905,1117.0,977.0,1.0,9.667455293231887,0.7348067173733318,6.0,0.1119495299356754,0.14727578960170573,123.32832197902479,94.37160589923221,9.219544457292887,2.766384932707986,2.23606797749979,69.68329766791453,83.65070964227202,-35.045609569638486,277.8839999999994,0.17639606276191405,0,0,0,0,0,1,0,1147.3458563535912,960.8011049723757,30,30
24,31,11570,92.0,1171.0,1.0,1.0004005819592205,0.1977734100720838,1.0,0.7837691369733099,0.8832724224025802,122.39143651129487,123.3288287465668,59.665735560705194,20.34411004583817,17.88854381999832,119.50104602052653,119.97393193807574,-50.99626000063606,405.71799999999894,0.9845551631706594,0,0,0,0,0,0,1,92.29014693171996,1171.2822817631807,31,31
24,32,9901,311.0,1177.0,1.0,1.00118760784693,0.16853405969445598,0.0,0.7685918335662164,0.8135751790373389,112.96378359469837,114.02192771568107,47.01063709417264,16.98226602201698,15.0,110.91229735659627,111.34793051303232,-15.141272423438243,391.06199999999893,0.9803455616614684,0,0,0,0,0,0,1,306.6943743056257,1169.5023734976264,32,32
24,33,6665,535.0,1140.0,1.0,1.367818016985083,0.3339521143230898,-4.0,0.5821469123940956,0.07234600202492786,110.69424302211783,107.5174404457249,18.027756377319946,4.301335009420769,3.605551275463989,103.6,104.33929106555564,-31.841517077887293,1075.9639999999965,0.7457342657342657,0,0,0,0,0,0,1,518.8673668417105,1168.7789947486872,33,33
24,34,1483,765.0,1155.0,1.0,5.949963265351631,0.5298150863649421,24.0,0.14412050534499515,0.034863335424336235,114.13637946528593,107.01868995647442,5.830951894845301,1.9002764627111923,1.4142135623730951,91.42820381409906,96.80056829176335,-84.23569383834331,731.1239999999973,0.19393226101739244,0,0,0,0,0,0,1,738.8806473364801,1164.747134187458,34,34
24,35,377,932.0,1136.0,1.0,20.841942499685256,0.5228847426705916,13.0,0.04891022314478464,0.06968231443984224,107.48304179289183,102.53292154230269,4.0,1.5618776833065442,1.0,79.16478845933112,91.61890960780863,72.13568936328085,260.74399999999946,0.06653136856966381,0,0,0,0,0,0,1,934.3262599469496,1162.1458885941645,35,35
25,1,17625,87.0,102.0,1.0,1.0008526044661887,0.26231151746279374,1.0,0.7781456953642384,0.8734747180306714,152.22838531574632,152.86922515666782,72.71863585079137,24.99395985615951,21.95449840010015,146.8,146.8978416118956,43.433630770071396,503.55199999999854,0.9858209581340717,0,1,0,0,0,0,0,88.92045390070922,103.40266666666666,1,1
25,2,15501,308.0,101.0,1.0,1.0007977251151472,0.23878236317667695,1.0,0.7687844070822795,0.8725675226741986,142.3297355022699,144.183910336764,68.30812543175226,23.41165872178257,20.591260281974,137.6,138.21257875827757,33.00539505619072,472.48199999999855,0.9848157560355781,0,1,0,0,0,0,0,307.2330172246952,99.93535900909619,2,2
